year,ISG,TO,P_GDP,EI,TI
1960,6.97381556958263,19.3039436708071,89.0352412832723,,
1961,6.79411774906471,22.4823523745223,97.59527391081491,,
1962,7.96386176172681,21.554848275691,100.12211579079,,
1963,7.80459286326725,21.6397630631354,101.901414464052,,
1964,10.423024456150301,24.150267810431103,100.221113507985,,
1965,10.723024748933,23.0293137134448,106.64664823646,,
1966,10.3150855684753,22.9361029749964,112.665358839312,,
1967,8.10282841164145,21.901860109321397,122.870630560939,,
1968,9.262345514757591,19.9371403769383,122.847593497904,,
1969,9.186404009269769,19.8113211700256,135.147381311241,,
1970,8.72908283074018,20.8205969538367,140.002714037943,,
1971,7.68383878031331,17.0190718372794,133.551423017287,0.6496766571430049,
1972,6.0641021055071604,19.407289555938497,94.3816784627895,0.9339369236707544,
1973,12.1103374893782,18.3946565109774,119.55974337532301,0.7856015169340903,
1974,13.372728157837699,14.049621065410399,182.019989366781,0.5244169194112045,
1975,11.611047305759199,10.995626132386501,277.570640891354,0.3458927706657613,
1976,14.4492027919251,22.3822749296616,141.197168777034,0.7072376046658891,
1977,16.7290739025876,19.4221981983695,131.373243400085,0.7589487812168942,
1978,14.309712689670901,21.038514961189197,176.03394976502,0.5704228148642461,
1979,15.6864548108505,21.9070635430834,200.769664090984,0.5059826511679407,
1980,20.1166762234798,23.377231112235,227.751946526218,0.4632455759552976,136.0
1981,19.8059719535783,19.2471590909091,247.649619808649,0.4234272872944858,172.0
1982,20.04288227039,20.6069241937352,220.718810111852,0.4889306244595924,144.0
1983,20.8716248676477,20.3168806212371,204.417678191801,0.5267277690007666,163.0
1984,21.430549595049698,16.8117271749034,213.99665793228803,0.4973407100319012,166.0
1985,20.321663423906198,18.2221846249994,245.453904178514,0.4466627626938109,136.0
1986,20.3790141468201,17.018742508278198,233.658047126004,0.4893292316076774,93.0
1987,19.6008172704812,16.687797631296302,253.974463110316,0.4316769723819403,121.0
1988,19.9362085702399,17.6780643099612,270.69960091549,0.4336868769258581,133.0
1989,19.7867069022062,18.3251740190693,285.829214029315,0.4204187311041881,108.0
1990,20.145625836133497,18.9665020125385,306.268703808998,0.4031165403857296,108.0
1991,21.119504535766698,18.889826885074697,293.16041551725897,0.4055740776753408,113.0
1992,21.71789053342,19.934005502451104,293.644998454253,0.41794327832873895,161.0
1993,22.9342560517422,23.1215830698982,300.555753175017,0.4218815011505422,107.0
1994,23.469992427677802,22.865864554570305,299.533039744954,0.4327762966593329,128.0
1995,23.580824452157103,28.2094960764218,329.42408464307204,0.4190893855664037,226.0
1996,21.6839165728619,26.0760877233809,394.717475124248,0.34441983426822315,153.0
1997,21.8626700944451,26.325513390083298,401.49869081414704,0.3463301122992267,165.0
1998,22.6607423702209,27.880063402839397,407.429186160797,0.34847031131640144,216.0
1999,22.375865536700697,28.3879405571158,409.54319685360804,0.3442368602512925,249.0
2000,22.279382681932503,29.3217143619038,418.068968311378,0.3421775487126049,318.0
2001,22.5838118742213,32.0980170730117,415.03442662014703,0.3699935685477633,295.0
2002,22.8392543728467,28.9673807211649,413.080254575162,0.3737594573158241,289.0
2003,22.4741487860882,27.657884900158,446.310659190362,0.3582594186900453,318.0
2004,22.7797200060528,26.858234149243103,475.29191978693495,0.3371509108804207,316.0
2005,23.2998442190711,34.396934864464995,499.46194023915604,0.32823869476046513,344.0
2006,24.0953205119221,38.111924432592104,509.640142873216,0.3400492563723572,310.0
2007,24.5005410079343,39.942382653173496,558.051860266708,0.3204917955429954,299.0
2008,24.727001303679298,42.6209140325589,634.987056467494,0.29226125090228394,338.0
2009,25.2955721814431,40.092796223023,702.264410019296,0.2749293734300532,330.0
2010,24.9564767264585,37.8028426708321,781.153593557047,0.2646869464166568,342.0
2011,25.0452996007551,47.42084983568979,861.758444349051,0.2460751883705235,306.0
2012,25.309959389543,48.1109227476789,883.1050005413131,0.2490866207786913,354.0
2013,26.307070164309,46.2964027239758,981.839879150399,0.2261638242221084,303.0
2014,26.3110467833576,44.514080196809594,1118.8536634927,0.20489400923891932,293.0
2015,26.8313948329541,42.0859963070382,1248.45339778371,,340.0
2016,27.3461176033502,37.9542963529911,1401.6206282151502,,344.0
2017,27.750899982953896,35.304000090696704,1563.99408178663,,302.0
2018,28.5369876541411,38.2448929879071,1698.26280233547,,368.0
2019,,,,,
