year,ISG,TO,P_GDP,EI,TI
1960,,41.8006506136201,1380.30624126257,2.197375160805344,
1961,,40.135152190659795,1452.54470901356,2.0699861200179908,
1962,,39.0443735638117,1513.6514485492598,2.039665059475888,
1963,,39.0464984503246,1592.6144766156199,2.0072850212882694,
1964,,39.156472329516,1729.3999780356799,1.8576006686460595,
1965,,37.90561304761229,1850.95476855498,1.7987528487416058,
1966,,37.6527939698256,1959.6278296212602,1.687453894774048,
1967,,37.9907331660299,2023.62756371118,1.6532456638024082,
1968,,42.195797697138296,1896.3867486073498,1.7961233367809024,
1969,,42.555612002484004,2032.3470096450303,1.7502568500552365,
1970,,41.9020164918918,2347.54431773747,1.5697051271932598,
1971,,41.554107459743705,2649.8015138722303,1.4088915637052255,
1972,,40.5230957768831,3030.43251411977,1.2367747698415967,
1973,,46.2486878133191,3426.2762205037798,1.132614513425961,
1974,,57.268203395212204,3665.8627976419,1.0188165401744116,
1975,,51.421176583633795,4299.74561799284,0.8246574213445095,
1976,,55.96128984163771,4138.16778761535,0.8740524116222482,
1977,,57.423082365266296,4681.43993173038,0.7893690670035003,
1978,,53.5742485570583,5976.93816899991,0.6149361376517872,
1979,,53.2634327256589,7804.76208051155,0.494438642068956,
1980,,49.9884744361304,10032.062080015,0.3512387397483301,41612.0
1981,,48.114689707713204,9599.30622221965,0.3557942095977111,39214.0
1982,,48.3365859830266,9146.077357018521,0.3714294288263105,37093.0
1983,,49.5108999972136,8691.51881306514,0.3886438015325025,34691.0
1984,,53.9941984343385,8179.19444064991,0.4120851958281691,32828.0
1985,,53.5420482569226,8652.21654247593,0.41039007446537895,31965.0
1986,,49.24128273431621,10611.112210096,0.33907328685216764,31103.0
1987,,48.626333885276296,13118.586534629,0.2758740249694613,30364.0
1988,,46.16932009044871,15987.168077568798,0.22787068126081084,30471.0
1989,,47.4544955446663,16239.2821960944,0.22330407323410675,29369.0
1990,27.8995710222797,47.028329259200895,19095.4669984608,0.1883720162982619,28238.0
1991,27.1697624412392,44.1609541087032,19900.7266505069,0.18632244117746893,27587.0
1992,26.7574952169838,45.1278209976643,20487.1707852878,0.17985521641251492,26687.0
1993,26.163737958046397,48.480257045726205,18389.0195675099,0.20192407786710792,26649.0
1994,26.685889390173898,50.5617218154687,19709.238098365302,0.1893792695358,26465.0
1995,24.8842341022709,50.0216175094739,23024.5558303071,0.16195592131049344,27521.0
1996,24.9883776532157,51.2823322618637,24230.4314806236,0.16012190245419675,28005.0
1997,24.128276110618803,50.3121861672812,26641.0196462475,0.14116247857586234,28109.0
1998,23.1658794356149,48.317961982894104,28068.838492336003,0.1349221647624487,29613.0
1999,22.1039840645178,48.8157973850758,28428.773023794703,0.13310718984083922,31732.0
2000,22.450637587312002,51.725309154800904,27987.751161111602,0.13526464147323902,32747.0
2001,21.274114762763602,51.726824638339394,27500.14577614,0.13763302221112528,32081.0
2002,21.0002738901531,50.262900733417,29863.5890663772,0.12342352686524255,31531.0
2003,20.1886492518654,49.3556321179825,34265.127596628,0.10890400765828416,31624.0
2004,19.441461122105,49.3885839552608,40068.3114501764,0.09220449930624428,29954.0
2005,19.6390574853844,51.9241362574914,41803.8913750407,0.08818221901230817,27988.0
2006,19.6573850093662,55.787017140299994,44326.914601753095,0.08118792924185927,25745.0
2007,19.2364681901752,52.0090927845485,50293.440546555095,0.06843119464047302,24999.0
2008,18.9359259043573,55.9461474772692,46985.567971811,0.07155347188624347,23379.0
2009,17.951383445235,54.1475384348168,38454.2265003904,0.08180077844111372,22465.0
2010,17.9308407235179,58.538450587288196,39079.842605581296,0.08266706742353051,21929.0
2011,17.9662958652418,62.0101231586103,41652.557085015294,0.07135571494921818,22259.0
2012,17.7604450380278,61.0876779446854,42018.7254635533,0.07241666131366879,23235.0
2013,18.0696364770826,61.094605435499105,42938.4251760491,0.06958109819451669,22938.0
2014,17.8371139107355,58.0307922539507,46967.6681352092,0.059122460370388624,23040.0
2015,17.860957602412398,56.239163768653405,44472.151701446106,0.062150805665757876,22801.0
2016,17.6239030344388,58.12617668025371,40539.9196069162,,22059.0
2017,17.9257319251435,61.426287391523,39932.0602923845,,22072.0
2018,18.0008348585557,61.34382950752789,42491.3644350973,,20941.0
2019,,,,,
