year,ISG,TO,P_GDP,P_GDPb,P_GDPl,FX,EI,EIb,EIl,TI,EIc
1960,,,1397.5948032844,,9762.46777099237,0.35714299935714294,2.1701931358983138,,0.31068483092637605,,
1961,,,1472.3857140786802,,9947.88260984848,0.35714299935714294,2.042092202887924,,0.3022499866842957,,
1962,,,1525.77585271032,,9972.604974647891,0.35714299935714294,2.023457093220327,,0.3095822986751761,,
1963,,,1613.45688373392,,10380.7307157502,0.35714299935714294,1.9813551981625737,,0.3079582036307893,,
1964,,,1748.2881176141,,10884.1592962963,0.35714299935714294,1.837531539103364,,0.29515688516693545,,
1965,,,1873.5677743542103,,11046.120863582,0.35714299935714294,1.7770428208703186,,0.30140989800382106,,
1966,,,1986.74715869685,,11158.202025673201,0.35714299935714294,1.6644199534534625,,0.29635434147846096,,
1967,,,2058.7818819805602,,11407.5222719298,0.36210333266567496,1.625015998119285,,0.2932760870508102,,
1968,,,1951.7585958753198,,11969.8078106633,0.41666699941666707,1.7451668981676192,,0.2845613353709286,,
1969,,,2100.66786858672,,12149.495331586799,0.41666699941666707,1.6933325484307251,,0.29278000264525444,,
1970,,42.7679936089328,2347.54431773747,,12429.0908094659,0.41666699941666707,1.5697051271932598,,0.2964780295160028,,
1971,,42.412836181399896,2649.8015138722303,,12808.5515008769,0.41092023742942496,1.4088915637052255,,0.2914680085513441,,
1972,,41.3606760807594,3030.43251411977,,13314.3490847504,0.400390461530008,1.2367747698415967,,0.28149798772090945,,
1973,,47.2048557141767,3426.2762205037798,,14153.5529162831,0.408170945299308,1.132614513425961,,0.2741820514822322,,
1974,,58.4524099883197,3665.8627976419,,13796.1925769341,0.427756439747663,1.0188165401744116,,0.2707153898744429,,
1975,,52.484184618482,4299.74561799284,,13592.982643199399,0.4520411656666671,0.8246574213445095,,0.26085644533249736,,
1976,,57.1180724604094,4138.16778761535,,13991.8856657002,0.556509832333333,0.8740524116222482,,0.2585052237333084,,
1977,,58.6098764056864,4681.43993173038,,14338.4077323403,0.573271999,0.7893690670035003,,0.2577262371196207,,
1978,,54.68142341704579,5976.93816899991,,14940.1381979206,0.521504582333333,0.6149361376517872,,0.2460107948091073,,
1979,,54.3642885191492,7804.76208051155,,15485.2513481131,0.47218116566666707,0.494438642068956,,0.24920331469011844,,
1980,,51.021438890648604,10032.062080015,,15153.0873145779,0.430294999,0.3512387397483301,,0.2325366949262929,41612.0,
1981,,49.108854042403,9599.30622221965,,15031.0050165417,0.49764133233333296,0.3557942095977111,,0.22722216952641486,39214.0,
1982,,49.335438683373205,9146.077357018521,,15338.6767000202,0.5724468323333329,0.3714294288263105,,0.22147427416044085,37093.0,
