Country Code,Year,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EN.POP.DNST,IP.PAT.NRES,IP.PAT.RESD,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
ABW,1980,,,333.86666666666696,,,,,,,,,,60096.0,50.472
ABW,1981,,,336.483333333333,,,,,,,,,,60567.0,50.456
ABW,1982,,,340.805555555556,,,,,,,,,,61345.0,50.441
ABW,1983,,,345.561111111111,,,,,,,,,,62201.0,50.426
ABW,1984,,,349.088888888889,,,,,,,,,,62836.0,50.411
ABW,1985,,,350.144444444444,,,,,,,,,,63026.0,50.395
ABW,1986,,,348.022222222222,,,,,,,405463417.11746,,,62644.0,50.38
ABW,1987,,,343.516666666667,,,,,,,487602457.74641603,,,61833.0,50.365
ABW,1988,,,339.327777777778,,,,,,,596423607.114715,,,61079.0,50.35
ABW,1989,,,339.066666666667,,,,,,,695304363.031101,,,61032.0,50.335
ABW,1990,,,345.272222222222,,,,,,,764887117.194486,23309.0205200435,36605.5961430272,62149.0,50.318999999999996
ABW,1991,,,359.011111111111,,,,,,,872138715.083799,25020.507166351097,38008.0566852855,64622.0,50.303999999999995
ABW,1992,,,379.083333333333,,,,,,,958463184.357542,25661.3190049092,38112.939714479304,68235.0,49.998000000000005
ABW,1993,,,402.8,,,,,,,1082979720.6703901,26529.2339547371,38490.0550396944,72504.0,49.588
ABW,1994,,,426.111111111111,,,,,,,1245688268.15642,27714.716606422997,39369.3333518946,76700.0,49.177
ABW,1995,,,446.24444444444396,,,1121229050.27933,1141899441.34078,171.38747276458,15.398641930911902,1320474860.3352,27707.4342306763,38550.6465738568,80324.0,48.766999999999996
ABW,1996,,,462.222222222222,,,1195530726.2569802,1224022346.3687198,175.334901401951,14.986660621100901,1379960893.85475,27562.459668339703,37659.3818001222,83200.0,48.356
ABW,1997,,,474.727777777778,,,1264245810.0558698,1321229050.27933,168.770831965808,17.1327192233916,1531944134.0782099,29222.894913407203,39251.237425455096,85451.0,47.946000000000005
ABW,1998,,,484.872222222222,,,1326256983.2402198,1392737430.1676,163.293105588603,17.5136636772655,1665100558.65922,29509.8766147189,39195.5479669575,87277.0,47.536
ABW,1999,,,494.472222222222,,,1377094972.06704,1458100558.65922,164.569153093089,15.549271842299,1722798882.68156,29718.1698233828,38910.4168183121,89005.0,47.126999999999995
ABW,2000,,,504.738888888889,,,1393854748.60335,1324022346.3687198,145.073177713897,15.8253515750802,1873452513.96648,32031.555426248102,41022.3215541135,90853.0,46.717
ABW,2001,,,516.1,,,1353631284.9162,1316201117.31844,139.045679371545,15.9113471050335,1920111731.84358,31062.349294390497,38927.234309846295,92898.0,46.339
ABW,2002,,,527.733333333333,,1.0,1260335195.53073,1346927374.30168,134.302158273381,15.2834244604317,1941340782.1229103,29847.928351813902,36822.875345117005,94992.0,45.972
ABW,2003,,,538.983333333333,,,1275418994.41341,1432402234.63687,133.969043670536,16.7927031509121,2021229050.27933,30355.732380497404,36766.554512931696,97017.0,45.606
ABW,2004,,,548.538888888889,,,1450279329.6089401,1527932960.89385,133.642516921534,17.5977187264979,2228491620.11173,33053.246533983,38984.2183832207,98737.0,45.24
ABW,2005,,,555.727777777778,,,1597765363.12849,1816759776.5363102,146.500479386385,18.504410354745897,2330726256.9832397,34050.4715742545,38947.199575108796,100031.0,44.875
ABW,2006,,,560.188888888889,,,1596648044.69274,1893854748.60335,143.963133640553,19.5727649769585,2424581005.58659,35167.1663632633,39042.9639448297,100834.0,44.511
ABW,2007,,,562.344444444444,,,1730167597.7653599,2008379888.26816,142.960905789361,18.9801110873745,2615083798.88268,36621.0351132862,39593.4734609622,101222.0,44.147
ABW,2008,,,563.1,,,1858659217.8771,2146368715.0838,145.889295889296,18.0314000814001,2745251396.64804,37249.4504598536,39504.4815067681,101358.0,43.783
ABW,2009,,,563.638888888889,,,1593854748.60335,1906145251.39665,140.062597809077,16.175408003577,2498882681.56425,33552.8898211474,35314.9128829597,101455.0,43.42100000000001
ABW,2010,,,564.827777777778,,,1459217877.09497,1854189944.1340802,138.607151203552,,2390502793.2960896,32624.209094705,33941.953877818996,101669.0,43.059
ABW,2011,,,566.922222222222,,,1729050279.3296099,2136312849.1620102,151.599474145486,,2549720670.3910604,34326.1448226739,34981.8954190133,102046.0,42.94
ABW,2012,,,569.777777777778,,,1653631284.9162,2089385474.8603399,147.674674895305,,2534636871.50838,33569.1865005073,34329.7742176796,102560.0,42.957
ABW,2013,,,573.1055555555561,,,2067039106.14525,2349720670.3910604,163.482216708023,,2701675977.6536303,36477.7793887055,35563.3109602658,103159.0,42.99
ABW,2014,,,576.522222222222,,,2144692737.4301698,2350837988.82682,162.565656565657,,2765363128.49162,36444.2620573183,35458.6083425146,103774.0,43.041000000000004
ABW,2015,,,579.672222222222,,,2146368715.0838,2164804469.27374,147.66551856104098,,2919553072.6257,36765.1160710175,37276.0804173621,104341.0,43.108000000000004
ABW,2016,,,582.622222222222,,,2114525139.6648,2101117318.43575,142.135995479375,,2965921787.7095,37359.373438369905,37866.173853424305,104872.0,43.192
ABW,2017,,,585.366666666667,,,2241340782.1229,2189385474.8603396,144.96435752147698,,3056424581.00559,38442.4138382323,38442.4138382323,105366.0,43.293
ABW,2018,,,588.027777777778,,,,,,,,,,105845.0,43.411
ABW,2019,,,,,,,,,,,,,106314.0,43.54600000000001
AFG,1980,,,20.458461232117102,,,,,,,3641723321.99546,,,13356511.0,15.995
AFG,1981,,,20.1753408081365,,,,,,,3478787909.09091,,,13171673.0,16.562
AFG,1982,,,19.7324510614833,,,,,,,,,,12882528.0,17.147000000000002
AFG,1983,,,19.204316392488398,,,,,,,,,,12537730.0,17.747
AFG,1984,,,18.693582084979898,,,,,,,,,,12204292.0,18.365
AFG,1985,,,18.2860153784885,,,,,,,,,,11938208.0,18.997
AFG,1986,,,17.976563122262,,,,,,,,,,11736179.0,19.647000000000002
AFG,1987,,,17.774919584597,,,,,,,,,,11604534.0,20.314
AFG,1988,,,17.7955534111448,,,,,,,,,,11618005.0,20.998
AFG,1989,,,18.179819563152897,,,,,,,,,,11868877.0,21.088
AFG,1990,,,19.0122047605919,,,,,,,,,,12412308.0,21.177
AFG,1991,,,20.3703964096437,,,,,,,,,,13299017.0,21.266
AFG,1992,,,22.187828937291304,,,,,,,,,,14485546.0,21.355
AFG,1993,,,24.226638176638197,,,,,,,,,,15816603.0,21.444000000000003
AFG,1994,,,26.1552660601048,,,,,,,,,,17075727.0,21.534000000000002
AFG,1995,,,27.740491070061,,,,,,,,,,18110657.0,21.624000000000002
AFG,1996,,,28.8782235088687,,,,,,,,,,18853437.0,21.714000000000002
AFG,1997,,,29.649735012100603,,,,,,,,,,19357126.0,21.805
AFG,1998,,,30.232768127929397,,,,,,,,,,19737765.0,21.895
AFG,1999,,,30.896124743436605,,,,,,,,,,20170844.0,21.986
AFG,2000,,,31.8291103758846,,,,,,,,,,20779953.0,22.078000000000003
AFG,2001,,,33.0958980485862,,,,,,,,,,21606988.0,22.169
AFG,2002,,,34.6180957632571,,,,,,23.8101270064854,4055179566.34981,877.0144234713381,1272.9009135316198,22600770.0,22.261
AFG,2003,,,36.272510185951,,,,,,22.710864182832605,4515558808.10994,927.857547925085,1322.14132753971,23680871.0,22.353
AFG,2004,,,37.874404926017796,,,,,,26.2267897500666,5226778808.89209,925.44161616896,1284.12733787726,24726684.0,22.5
AFG,2005,,,39.2952194957571,,,,,,26.8120992326398,6209137624.771811,1023.05162962569,1376.68637625196,25654277.0,22.703000000000003
AFG,2006,,,40.488081671415,,,,,,28.210768071999397,6971285594.68013,1077.7619066135,1407.70804076547,26433049.0,22.906999999999996
AFG,2007,,,41.5104861685507,,,,,,26.8822416082148,9747879531.86311,1228.70413479594,1562.8765157744,27100536.0,23.113000000000003
AFG,2008,,,42.4628189810986,,,,,,26.915628002628498,10109225813.6696,1272.57320418133,1587.79206964143,27722276.0,23.32
